Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
RG Sharma (INDIA),27,27,5,1384,162,62.9,1463,94.6,6,5,1,130,52
AT Rayudu (INDIA),18,17,5,606,100,50.5,701,86.44,1,4,2,51,17
V Kohli (INDIA),20,20,5,1503,160*,100.2,1532,98.1,7,4,0,145,16
MP Stoinis (AUS),16,16,1,462,87,30.8,488,94.67,0,4,1,34,16
SE Marsh (AUS),10,10,0,640,131,64,655,97.7,4,1,0,46,15
AJ Finch (AUS),14,14,0,519,107,37.07,605,85.78,3,1,1,39,13
S Dhawan (INDIA),27,27,2,1140,127,45.6,1182,96.44,3,4,1,155,12
MS Dhoni (INDIA),26,18,5,517,87*,39.76,688,75.14,0,3,1,33,6
HH Pandya (INDIA),13,8,1,129,45,18.42,120,107.5,0,0,1,10,6
GJ Maxwell (AUS),10,10,1,292,62,32.44,271,107.74,0,1,0,29,5
KM Jadhav (INDIA),17,9,5,205,61*,51.25,209,98.08,0,1,0,19,3
KD Karthik (INDIA),12,10,4,242,44,40.33,303,79.86,0,0,1,20,3
MR Marsh (AUS),5,5,0,186,55,37.2,218,85.32,0,2,0,14,3
AT Carey (AUS),9,9,0,246,47,27.33,322,76.39,0,0,0,25,2
PSP Handscomb (AUS),3,3,0,151,73,50.33,146,103.42,0,2,0,10,2
CA Lynn (AUS),3,3,0,59,44,19.66,77,76.62,0,0,1,5,2
AM Rahane (INDIA),6,5,1,140,79,35,182,76.92,0,1,0,9,2
SN Thakur (INDIA),3,2,1,22,22*,22,16,137.5,0,0,1,0,2
AJ Tye (AUS),7,7,3,57,19,14.25,48,118.75,0,0,0,5,2
AC Agar (AUS),5,5,0,130,46,26,144,90.27,0,0,1,16,1
NM Coulter-Nile (AUS),1,1,0,34,34,34,31,109.67,0,0,0,5,1
TM Head (AUS),12,12,0,339,96,28.25,364,93.13,0,4,0,49,1
B Kumar (INDIA),22,10,3,137,29*,19.57,190,72.1,0,0,0,10,1
NM Lyon (AUS),4,3,2,16,12*,16,18,88.88,0,0,0,1,1
TD Paine (AUS),9,9,2,153,34,21.85,187,81.81,0,0,0,10,1
RR Pant (INDIA),3,2,0,41,24,20.5,31,132.25,0,0,0,5,1
KL Rahul (INDIA),3,3,1,69,60,34.5,86,80.23,0,1,1,5,1
KW Richardson (AUS),3,3,1,15,14,7.5,27,55.55,0,0,0,0,1
DJM Short (AUS),4,4,1,83,47*,27.66,99,83.83,0,0,1,7,1
SPD Smith (AUS),5,5,0,102,45,20.4,148,68.91,0,0,0,4,1
KK Ahmed (INDIA),8,3,1,9,5,4.5,17,52.94,0,0,0,1,0
JP Behrendorff (AUS),2,1,1,1,1*,-,1,100,0,0,0,0,0
JJ Bumrah (INDIA),13,1,0,0,0,0,3,0,0,0,1,0,0
YS Chahal (INDIA),23,4,2,33,18*,16.5,55,60,0,0,0,5,0
DL Chahar (INDIA),1,1,0,12,12,12,14,85.71,0,0,0,1,0
PJ Cummins (AUS),6,6,2,38,12,9.5,67,56.71,0,0,0,2,0
JR Hazlewood (AUS),6,4,4,16,10*,-,24,66.66,0,0,0,2,0
SS Iyer (INDIA),3,2,0,48,30,24,58,82.75,0,0,0,4,0
RA Jadeja (INDIA),11,5,1,76,25,19,98,77.55,0,0,0,3,0
S Kaul (INDIA),3,2,0,1,1,0.5,3,33.33,0,0,1,0,0
UT Khawaja (AUS),3,3,0,114,59,38,155,73.54,0,1,0,11,0
Kuldeep Yadav (INDIA),25,9,6,57,15*,19,106,53.77,0,0,0,2,0
Mohammed Shami (INDIA),9,3,1,2,1,1,4,50,0,0,0,0,0
MG Neser (AUS),2,2,0,8,6,4,16,50,0,0,0,0,0
MK Pandey (INDIA),1,1,0,8,8,8,15,53.33,0,0,0,0,0
SK Raina (INDIA),3,2,0,47,46,23.5,67,70.14,0,0,0,1,0
JA Richardson (AUS),7,5,1,39,16,9.75,63,61.9,0,0,0,1,0
V Shankar (INDIA),4,1,0,45,45,45,64,70.31,0,0,0,4,0
Shubman Gill (INDIA),2,2,0,16,9,8,32,50,0,0,0,2,0
PM Siddle (AUS),3,2,1,10,10*,10,12,83.33,0,0,1,1,0
